Logical Quotient Rating,Coding Skills Rating,Communication Skills Rating,Self-learning Capability?,Worked in teams ever?,Reading and Writing Skills,Memory Capability Score,Hard/Smart worker,Management or Technical,Certifications,Interested Subjects,Workshops,Type of Company want to settle in?,Interested Career Area,Suggested Job Role
8,9,5,no,no,excellent,poor,smart worker,Technical,python,Software Engineering,web technologies,Cloud Services,security,Database Developer
7,5,3,yes,yes,medium,medium,smart worker,Technical,machine learning,networks,data science,Product based,developer,Database Developer
8,2,9,no,no,medium,excellent,smart worker,Technical,shell programming,parallel computing,database security,Cloud Services,system developer,Database Developer
5,3,8,no,no,poor,medium,hard worker,Technical,hadoop,Management,web technologies,Product based,testing,Database Developer
5,6,1,yes,yes,excellent,excellent,smart worker,Technical,information security,programming,ethical hacking,SAaS services,system developer,Database Developer
3,1,5,yes,no,medium,medium,hard worker,Management,information security,data engineering,database security,BPA,system developer,Database Developer
5,1,7,yes,no,excellent,medium,smart worker,Management,machine learning,IOT,system designing,product development,system developer,Database Developer
1,6,3,no,no,medium,medium,hard worker,Management,app development,programming,testing,Web Services,cloud computing,Database Developer
9,2,9,no,yes,medium,medium,hard worker,Technical,r programming,IOT,game development,Product based,security,Database Developer
2,3,4,no,no,medium,medium,hard worker,Management,shell programming,Management,data science,Product based,developer,Database Developer
2,2,4,yes,yes,medium,excellent,hard worker,Technical,python,Software Engineering,AWS,Testing and Maintainance Services,Business process analyst,Database Developer
4,3,6,yes,yes,medium,poor,smart worker,Technical,r programming,Computer Architecture,testing,BPA,system developer,Database Developer
8,2,8,yes,yes,medium,poor,hard worker,Management,distro making,data engineering,system designing,Testing and Maintainance Services,security,Database Developer
9,4,5,yes,no,excellent,medium,smart worker,Management,python,Computer Architecture,web technologies,Cloud Services,system developer,Database Developer
1,8,2,yes,no,excellent,excellent,hard worker,Management,hadoop,parallel computing,web technologies,product development,Business process analyst,Database Developer
7,3,3,no,no,excellent,excellent,smart worker,Technical,distro making,Computer Architecture,system designing,SAaS services,testing,Database Developer
6,6,2,no,yes,excellent,poor,smart worker,Technical,distro making,IOT,system designing,Product based,testing,Database Developer
8,4,7,yes,no,excellent,medium,smart worker,Management,shell programming,hacking,database security,Cloud Services,security,Database Developer
9,6,8,no,no,excellent,excellent,smart worker,Management,distro making,Computer Architecture,game development,Sales and Marketing,Business process analyst,Database Developer
2,4,5,yes,no,poor,medium,smart worker,Management,python,programming,web technologies,Testing and Maintainance Services,Business process analyst,Database Developer
9,3,3,yes,no,poor,poor,smart worker,Technical,machine learning,Management,testing,Sales and Marketing,Business process analyst,Database Developer
7,5,7,no,no,medium,poor,hard worker,Technical,distro making,IOT,game development,Testing and Maintainance Services,cloud computing,Database Developer
4,9,7,no,no,poor,excellent,hard worker,Management,information security,data engineering,AWS,Web Services,cloud computing,Database Developer
2,7,6,yes,no,poor,medium,hard worker,Management,distro making,Computer Architecture,database security,Testing and Maintainance Services,developer,Database Developer
8,9,4,no,no,poor,excellent,hard worker,Management,machine learning,distributed computing,AWS,SAaS services,testing,Database Developer
6,8,3,no,yes,excellent,excellent,smart worker,Management,distro making,distributed computing,data science,BPA,developer,Database Developer
8,7,9,yes,yes,poor,medium,hard worker,Technical,hadoop,networks,database security,SAaS services,testing,Database Developer
6,4,8,no,no,excellent,excellent,smart worker,Management,hadoop,programming,database security,Service Based,security,Database Developer
1,2,1,no,yes,medium,excellent,hard worker,Management,distro making,Computer Architecture,ethical hacking,Cloud Services,system developer,Database Developer
4,8,7,no,no,medium,poor,smart worker,Management,r programming,programming,AWS,Cloud Services,developer,Database Developer
7,2,1,yes,yes,poor,excellent,hard worker,Technical,python,hacking,game development,Service Based,system developer,Database Developer
5,8,8,yes,yes,poor,excellent,smart worker,Management,python,data engineering,data science,Service Based,developer,Database Developer
6,6,8,yes,yes,poor,poor,smart worker,Technical,machine learning,data engineering,web technologies,Service Based,system developer,Database Developer
9,2,4,yes,yes,poor,poor,smart worker,Management,full stack,distributed computing,game development,Finance,testing,Database Developer
4,5,5,no,yes,medium,medium,smart worker,Management,r programming,hacking,data science,Finance,testing,Database Developer
3,8,6,no,no,medium,medium,hard worker,Technical,machine learning,networks,data science,Cloud Services,security,Database Developer
9,9,8,yes,no,excellent,excellent,hard worker,Technical,python,hacking,testing,Product based,cloud computing,Database Developer
3,7,4,no,no,excellent,medium,smart worker,Management,information security,parallel computing,web technologies,product development,system developer,Database Developer
9,3,4,yes,yes,medium,excellent,hard worker,Management,app development,IOT,AWS,Finance,system developer,Database Developer
9,4,4,no,yes,excellent,poor,smart worker,Management,r programming,distributed computing,ethical hacking,Finance,system developer,Database Developer
5,7,4,no,yes,poor,medium,hard worker,Management,shell programming,data engineering,game development,Finance,security,Database Developer
2,9,9,yes,yes,medium,medium,hard worker,Technical,app development,networks,database security,Service Based,cloud computing,Database Developer
3,2,2,no,yes,poor,excellent,hard worker,Management,full stack,Software Engineering,AWS,product development,developer,Database Developer
9,4,1,yes,no,medium,medium,hard worker,Technical,information security,distributed computing,testing,Service Based,Business process analyst,Database Developer
4,5,9,no,yes,poor,poor,smart worker,Management,hadoop,hacking,data science,Web Services,Business process analyst,Database Developer
8,5,5,yes,yes,poor,poor,hard worker,Technical,distro making,distributed computing,testing,Cloud Services,Business process analyst,Database Developer
2,6,7,yes,no,poor,medium,hard worker,Management,distro making,networks,system designing,SAaS services,Business process analyst,Database Developer
3,4,1,yes,yes,excellent,medium,hard worker,Management,app development,Management,game development,Testing and Maintainance Services,system developer,Database Developer
6,5,5,no,yes,medium,excellent,smart worker,Management,full stack,Computer Architecture,AWS,Testing and Maintainance Services,Business process analyst,Database Developer
2,3,5,yes,yes,excellent,excellent,smart worker,Management,app development,data engineering,system designing,Cloud Services,cloud computing,Database Developer
5,7,5,yes,yes,medium,poor,hard worker,Management,app development,Computer Architecture,AWS,Testing and Maintainance Services,cloud computing,Database Developer
4,3,6,yes,no,poor,excellent,hard worker,Management,r programming,parallel computing,web technologies,Web Services,developer,Database Developer
7,2,8,no,yes,medium,poor,hard worker,Technical,shell programming,programming,system designing,Service Based,Business process analyst,Database Developer
5,7,1,yes,yes,excellent,poor,smart worker,Technical,python,networks,data science,Testing and Maintainance Services,security,Database Developer
8,6,5,no,yes,medium,poor,hard worker,Technical,distro making,distributed computing,AWS,Sales and Marketing,developer,Database Developer
4,3,9,yes,yes,poor,poor,smart worker,Management,r programming,IOT,game development,Testing and Maintainance Services,security,Database Developer
9,2,8,no,yes,poor,poor,hard worker,Management,python,Management,ethical hacking,Web Services,testing,Database Developer
6,1,8,yes,yes,poor,poor,hard worker,Technical,shell programming,Management,game development,Service Based,system developer,Database Developer
5,5,7,yes,no,poor,excellent,hard worker,Management,python,hacking,database security,Sales and Marketing,cloud computing,Database Developer
4,4,4,no,yes,poor,excellent,hard worker,Technical,full stack,hacking,testing,Product based,system developer,Database Developer
6,1,5,yes,yes,medium,medium,hard worker,Management,distro making,Computer Architecture,system designing,Testing and Maintainance Services,Business process analyst,Database Developer
6,3,4,yes,no,excellent,poor,hard worker,Technical,machine learning,Management,game development,Web Services,testing,Mobile Applications Developer
6,4,4,no,no,medium,poor,smart worker,Technical,hadoop,hacking,system designing,product development,testing,Mobile Applications Developer
4,7,7,yes,no,excellent,medium,smart worker,Management,full stack,distributed computing,ethical hacking,product development,Business process analyst,Mobile Applications Developer
6,6,9,yes,no,medium,excellent,smart worker,Technical,machine learning,Software Engineering,game development,Cloud Services,developer,Mobile Applications Developer
6,6,8,yes,yes,medium,medium,smart worker,Management,machine learning,IOT,web technologies,product development,security,Mobile Applications Developer
5,9,9,yes,no,medium,poor,smart worker,Management,app development,programming,ethical hacking,Testing and Maintainance Services,system developer,Mobile Applications Developer
3,8,6,yes,yes,medium,excellent,smart worker,Management,app development,parallel computing,game development,product development,security,Mobile Applications Developer
7,9,3,yes,yes,poor,excellent,smart worker,Management,r programming,IOT,testing,Finance,developer,Mobile Applications Developer
9,4,1,no,yes,medium,excellent,smart worker,Technical,shell programming,data engineering,testing,Service Based,testing,Mobile Applications Developer
9,1,4,yes,yes,medium,medium,hard worker,Technical,r programming,programming,system designing,Finance,system developer,Mobile Applications Developer
2,5,9,yes,no,medium,medium,smart worker,Technical,python,IOT,AWS,BPA,system developer,Mobile Applications Developer
9,3,8,yes,no,poor,excellent,smart worker,Technical,full stack,Management,database security,Finance,Business process analyst,Mobile Applications Developer
6,1,6,no,no,medium,medium,hard worker,Management,distro making,hacking,AWS,Finance,system developer,Mobile Applications Developer
1,9,6,yes,yes,medium,excellent,hard worker,Management,machine learning,Computer Architecture,ethical hacking,Sales and Marketing,testing,Mobile Applications Developer
6,8,1,no,yes,poor,medium,hard worker,Management,machine learning,parallel computing,system designing,product development,system developer,Mobile Applications Developer
4,9,5,no,yes,medium,excellent,smart worker,Technical,distro making,networks,AWS,Product based,testing,Mobile Applications Developer
9,9,7,no,no,poor,medium,smart worker,Management,r programming,programming,database security,Testing and Maintainance Services,security,Mobile Applications Developer
1,9,1,yes,no,excellent,poor,hard worker,Technical,information security,networks,data science,Cloud Services,system developer,Mobile Applications Developer
1,4,1,yes,no,poor,medium,hard worker,Technical,shell programming,programming,AWS,Sales and Marketing,cloud computing,Mobile Applications Developer
9,9,7,no,yes,excellent,poor,smart worker,Management,hadoop,hacking,testing,Finance,Business process analyst,Mobile Applications Developer
9,1,4,no,no,poor,medium,smart worker,Technical,distro making,Management,testing,Cloud Services,security,Mobile Applications Developer
9,1,5,no,no,excellent,excellent,hard worker,Technical,distro making,Management,AWS,BPA,system developer,Mobile Applications Developer
9,4,2,no,yes,poor,poor,hard worker,Management,shell programming,Computer Architecture,data science,SAaS services,system developer,Mobile Applications Developer
1,1,6,no,no,excellent,excellent,smart worker,Management,r programming,hacking,web technologies,BPA,system developer,Mobile Applications Developer
5,1,7,yes,no,excellent,poor,hard worker,Management,python,Management,ethical hacking,product development,Business process analyst,Mobile Applications Developer
4,3,5,yes,yes,poor,poor,smart worker,Management,machine learning,networks,testing,Web Services,cloud computing,Mobile Applications Developer
2,1,8,no,yes,medium,medium,smart worker,Management,shell programming,Computer Architecture,ethical hacking,Service Based,testing,Mobile Applications Developer
6,1,1,yes,yes,medium,medium,smart worker,Management,shell programming,networks,game development,Service Based,cloud computing,Mobile Applications Developer
9,3,2,no,no,medium,excellent,smart worker,Technical,python,parallel computing,ethical hacking,product development,security,Mobile Applications Developer
4,1,9,yes,yes,poor,medium,smart worker,Technical,machine learning,parallel computing,data science,Web Services,developer,Mobile Applications Developer
6,7,2,no,yes,excellent,poor,hard worker,Management,information security,IOT,AWS,Product based,Business process analyst,Mobile Applications Developer
8,1,1,no,no,medium,medium,smart worker,Management,r programming,Computer Architecture,AWS,product development,testing,Mobile Applications Developer
8,8,4,no,no,excellent,excellent,hard worker,Technical,python,IOT,web technologies,Sales and Marketing,Business process analyst,Mobile Applications Developer
7,7,2,yes,yes,medium,poor,hard worker,Management,shell programming,IOT,AWS,Testing and Maintainance Services,developer,Mobile Applications Developer
8,1,1,yes,no,poor,excellent,smart worker,Technical,shell programming,IOT,AWS,Web Services,testing,Mobile Applications Developer
6,2,9,no,yes,poor,medium,smart worker,Management,app development,Software Engineering,AWS,BPA,testing,Mobile Applications Developer
8,6,6,no,yes,excellent,poor,hard worker,Management,information security,Management,web technologies,Sales and Marketing,security,Mobile Applications Developer
4,4,8,no,no,excellent,excellent,smart worker,Management,r programming,hacking,web technologies,Product based,testing,Mobile Applications Developer
1,4,9,yes,no,medium,poor,smart worker,Technical,hadoop,IOT,system designing,Product based,system developer,Mobile Applications Developer
1,3,6,yes,yes,excellent,medium,smart worker,Management,information security,data engineering,web technologies,Product based,cloud computing,Mobile Applications Developer
9,3,9,no,yes,poor,medium,hard worker,Management,python,distributed computing,data science,Cloud Services,security,Mobile Applications Developer
9,3,8,no,no,excellent,poor,smart worker,Management,machine learning,Software Engineering,data science,SAaS services,Business process analyst,Mobile Applications Developer
4,1,6,no,no,poor,medium,hard worker,Management,distro making,Software Engineering,game development,Finance,Business process analyst,Mobile Applications Developer
5,8,5,no,no,poor,medium,hard worker,Technical,hadoop,distributed computing,system designing,Service Based,system developer,Mobile Applications Developer
9,4,9,yes,yes,excellent,medium,hard worker,Technical,python,programming,system designing,Finance,security,Mobile Applications Developer
6,5,1,no,yes,medium,medium,smart worker,Technical,machine learning,networks,AWS,Testing and Maintainance Services,cloud computing,Mobile Applications Developer
5,1,9,no,yes,excellent,excellent,hard worker,Technical,distro making,IOT,web technologies,Finance,security,Mobile Applications Developer
8,4,2,no,yes,poor,poor,smart worker,Management,r programming,hacking,system designing,Testing and Maintainance Services,developer,Mobile Applications Developer
9,3,1,yes,yes,poor,poor,hard worker,Management,information security,data engineering,testing,Cloud Services,Business process analyst,Mobile Applications Developer
9,7,9,yes,yes,medium,excellent,smart worker,Technical,python,Computer Architecture,database security,Finance,cloud computing,Mobile Applications Developer
3,8,2,yes,no,medium,excellent,hard worker,Management,python,IOT,system designing,BPA,security,Mobile Applications Developer
4,7,3,no,yes,excellent,medium,smart worker,Technical,python,distributed computing,database security,BPA,developer,Mobile Applications Developer
3,3,3,no,yes,excellent,poor,hard worker,Management,python,programming,AWS,Testing and Maintainance Services,testing,Mobile Applications Developer
2,2,1,yes,yes,medium,medium,hard worker,Management,hadoop,distributed computing,ethical hacking,BPA,system developer,Mobile Applications Developer
2,2,8,no,no,excellent,excellent,smart worker,Technical,full stack,programming,testing,BPA,system developer,Mobile Applications Developer
7,7,8,yes,yes,excellent,poor,hard worker,Management,machine learning,Software Engineering,system designing,Sales and Marketing,testing,Mobile Applications Developer
8,3,4,no,yes,medium,poor,smart worker,Management,python,Software Engineering,data science,BPA,system developer,Mobile Applications Developer
5,1,9,yes,no,excellent,medium,hard worker,Management,python,networks,AWS,Service Based,developer,Mobile Applications Developer
7,3,9,yes,yes,excellent,poor,hard worker,Technical,machine learning,hacking,web technologies,product development,testing,Mobile Applications Developer
8,5,1,yes,yes,medium,medium,smart worker,Technical,machine learning,hacking,system designing,product development,cloud computing,Mobile Applications Developer
7,5,9,yes,yes,excellent,medium,smart worker,Management,hadoop,Computer Architecture,ethical hacking,product development,developer,Mobile Applications Developer
5,1,4,no,no,poor,medium,hard worker,Technical,full stack,Software Engineering,ethical hacking,Service Based,developer,Mobile Applications Developer
2,3,7,yes,yes,medium,medium,smart worker,Technical,full stack,programming,database security,Cloud Services,developer,Mobile Applications Developer
4,7,6,no,no,poor,excellent,smart worker,Technical,app development,hacking,game development,product development,cloud computing,Mobile Applications Developer
8,9,7,no,no,excellent,medium,smart worker,Technical,machine learning,parallel computing,AWS,product development,cloud computing,Mobile Applications Developer
6,5,3,no,no,poor,poor,hard worker,Technical,information security,data engineering,web technologies,Product based,developer,Mobile Applications Developer
9,3,2,no,yes,medium,medium,smart worker,Technical,shell programming,parallel computing,testing,Cloud Services,system developer,Mobile Applications Developer
8,6,1,no,no,poor,medium,smart worker,Technical,distro making,programming,web technologies,Service Based,developer,Mobile Applications Developer
5,6,1,no,no,excellent,medium,smart worker,Management,app development,IOT,web technologies,Web Services,testing,Mobile Applications Developer
2,3,2,yes,no,excellent,poor,smart worker,Technical,information security,programming,AWS,SAaS services,security,Mobile Applications Developer
2,1,4,yes,yes,poor,excellent,smart worker,Management,full stack,distributed computing,web technologies,Web Services,developer,Mobile Applications Developer
3,6,9,yes,yes,excellent,medium,smart worker,Management,hadoop,IOT,system designing,BPA,security,Mobile Applications Developer
4,6,3,no,yes,medium,medium,hard worker,Management,r programming,programming,system designing,Finance,security,Mobile Applications Developer
3,8,3,yes,yes,poor,excellent,smart worker,Technical,shell programming,distributed computing,AWS,Product based,Business process analyst,Mobile Applications Developer
6,3,4,yes,no,excellent,poor,smart worker,Management,machine learning,IOT,data science,Service Based,cloud computing,Mobile Applications Developer
3,8,6,no,yes,poor,medium,smart worker,Technical,information security,Management,ethical hacking,BPA,testing,Mobile Applications Developer
1,3,1,yes,yes,poor,poor,smart worker,Technical,distro making,programming,ethical hacking,BPA,Business process analyst,Mobile Applications Developer
9,1,5,yes,no,medium,poor,hard worker,Management,app development,data engineering,database security,Service Based,security,Mobile Applications Developer
7,9,3,yes,yes,excellent,medium,smart worker,Technical,r programming,programming,data science,Finance,cloud computing,Mobile Applications Developer
9,2,1,no,no,excellent,excellent,hard worker,Management,python,networks,ethical hacking,product development,cloud computing,Mobile Applications Developer
8,8,5,yes,no,excellent,excellent,smart worker,Technical,full stack,data engineering,game development,Sales and Marketing,security,Mobile Applications Developer
3,7,3,no,yes,medium,excellent,hard worker,Management,python,distributed computing,system designing,product development,security,Mobile Applications Developer
5,1,7,no,no,poor,poor,smart worker,Management,full stack,parallel computing,ethical hacking,Service Based,cloud computing,Mobile Applications Developer
6,5,1,no,yes,excellent,medium,hard worker,Management,hadoop,Management,web technologies,product development,security,Mobile Applications Developer
8,8,5,no,no,excellent,medium,hard worker,Management,hadoop,hacking,AWS,BPA,Business process analyst,Mobile Applications Developer
8,1,1,no,yes,excellent,poor,smart worker,Management,machine learning,data engineering,testing,Service Based,Business process analyst,Mobile Applications Developer
1,4,5,yes,yes,excellent,medium,hard worker,Management,python,IOT,testing,product development,cloud computing,Mobile Applications Developer
3,7,2,no,no,poor,medium,smart worker,Technical,app development,networks,database security,Cloud Services,Business process analyst,Mobile Applications Developer
5,3,5,no,no,poor,medium,smart worker,Technical,information security,programming,ethical hacking,Cloud Services,system developer,Mobile Applications Developer
3,4,1,yes,no,poor,poor,smart worker,Management,app development,IOT,ethical hacking,Testing and Maintainance Services,system developer,Mobile Applications Developer
1,4,4,no,yes,medium,medium,smart worker,Technical,hadoop,distributed computing,AWS,Service Based,Business process analyst,Mobile Applications Developer
4,8,2,yes,no,excellent,excellent,hard worker,Technical,full stack,programming,ethical hacking,Product based,testing,Mobile Applications Developer
4,8,1,no,yes,poor,medium,smart worker,Technical,shell programming,hacking,database security,Web Services,Business process analyst,Mobile Applications Developer
6,7,4,yes,no,medium,medium,smart worker,Management,r programming,Computer Architecture,game development,SAaS services,testing,Mobile Applications Developer
2,5,3,yes,no,medium,medium,hard worker,Technical,distro making,programming,AWS,Finance,developer,Mobile Applications Developer
6,5,6,no,yes,excellent,medium,hard worker,Management,python,hacking,game development,Cloud Services,security,Mobile Applications Developer
7,1,8,yes,no,excellent,poor,hard worker,Technical,python,distributed computing,game development,Cloud Services,developer,Mobile Applications Developer
3,6,6,no,no,medium,medium,hard worker,Technical,shell programming,networks,web technologies,Cloud Services,cloud computing,Mobile Applications Developer
3,3,7,no,no,medium,excellent,smart worker,Technical,information security,programming,testing,BPA,security,Mobile Applications Developer
7,8,4,no,no,poor,excellent,hard worker,Technical,shell programming,hacking,ethical hacking,Product based,cloud computing,Mobile Applications Developer
9,6,9,no,no,medium,medium,hard worker,Technical,hadoop,networks,web technologies,product development,cloud computing,Network Security Engineer
5,6,3,yes,no,medium,excellent,hard worker,Management,hadoop,Management,ethical hacking,product development,testing,Network Security Engineer
4,2,4,no,no,poor,poor,smart worker,Management,app development,IOT,AWS,Service Based,Business process analyst,Network Security Engineer
3,6,1,no,yes,medium,excellent,smart worker,Management,shell programming,Management,system designing,Cloud Services,testing,Network Security Engineer
5,5,7,yes,yes,medium,poor,hard worker,Management,r programming,Management,AWS,Product based,cloud computing,Network Security Engineer
3,4,3,no,no,medium,poor,smart worker,Technical,full stack,distributed computing,database security,Testing and Maintainance Services,security,Network Security Engineer
9,7,1,yes,no,medium,medium,smart worker,Technical,python,Management,web technologies,Web Services,testing,Network Security Engineer
9,1,4,no,no,medium,medium,smart worker,Management,app development,Computer Architecture,system designing,Service Based,cloud computing,Network Security Engineer
9,7,1,yes,no,medium,poor,hard worker,Management,distro making,data engineering,ethical hacking,Sales and Marketing,testing,Network Security Engineer
3,4,6,no,yes,excellent,excellent,hard worker,Technical,information security,Software Engineering,AWS,Testing and Maintainance Services,developer,Network Security Engineer
9,6,8,yes,no,poor,poor,hard worker,Management,app development,IOT,game development,Web Services,system developer,Network Security Engineer
6,7,3,no,yes,excellent,excellent,hard worker,Management,information security,networks,testing,BPA,security,Network Security Engineer
7,4,8,no,no,poor,excellent,hard worker,Management,distro making,Computer Architecture,testing,Finance,developer,Network Security Engineer
3,4,5,no,yes,excellent,poor,smart worker,Management,hadoop,Management,ethical hacking,Sales and Marketing,system developer,Network Security Engineer
2,6,9,yes,no,poor,medium,smart worker,Technical,full stack,programming,data science,Service Based,testing,Network Security Engineer
3,9,7,yes,yes,medium,excellent,hard worker,Management,distro making,Software Engineering,data science,Cloud Services,testing,Network Security Engineer
2,4,6,yes,no,excellent,excellent,hard worker,Technical,machine learning,IOT,system designing,Service Based,security,Network Security Engineer
4,9,2,yes,yes,poor,poor,hard worker,Management,shell programming,hacking,ethical hacking,Cloud Services,developer,Network Security Engineer
8,9,3,yes,no,medium,poor,hard worker,Management,information security,networks,testing,BPA,developer,Network Security Engineer
9,7,2,no,no,poor,excellent,smart worker,Management,hadoop,networks,game development,product development,security,Network Security Engineer
4,5,9,no,yes,poor,excellent,hard worker,Management,hadoop,IOT,data science,Service Based,testing,Network Security Engineer
3,5,7,no,yes,poor,excellent,hard worker,Technical,distro making,networks,testing,product development,security,Network Security Engineer
6,8,3,no,yes,excellent,excellent,hard worker,Management,hadoop,distributed computing,system designing,Product based,developer,Network Security Engineer
6,4,6,yes,no,poor,poor,smart worker,Technical,app development,parallel computing,ethical hacking,SAaS services,testing,Network Security Engineer
9,9,8,yes,yes,poor,medium,smart worker,Management,hadoop,Computer Architecture,ethical hacking,Sales and Marketing,system developer,Network Security Engineer
4,5,1,no,no,poor,medium,hard worker,Technical,hadoop,Computer Architecture,ethical hacking,SAaS services,Business process analyst,Network Security Engineer
8,7,7,yes,yes,medium,excellent,hard worker,Technical,distro making,Computer Architecture,game development,SAaS services,security,Network Security Engineer
2,6,2,no,no,excellent,poor,hard worker,Technical,machine learning,hacking,ethical hacking,BPA,developer,Network Security Engineer
6,1,5,no,no,medium,excellent,smart worker,Management,r programming,programming,game development,Product based,cloud computing,Network Security Engineer
6,4,8,no,no,excellent,medium,smart worker,Management,app development,networks,system designing,SAaS services,developer,Network Security Engineer
2,4,9,no,no,excellent,excellent,smart worker,Technical,information security,programming,database security,Product based,system developer,Network Security Engineer
1,3,6,yes,yes,medium,poor,smart worker,Technical,hadoop,hacking,web technologies,Sales and Marketing,system developer,Network Security Engineer
9,8,8,yes,yes,poor,medium,hard worker,Management,python,hacking,ethical hacking,BPA,cloud computing,Network Security Engineer
2,4,4,no,no,poor,excellent,hard worker,Management,machine learning,programming,database security,Service Based,developer,Network Security Engineer
2,5,6,no,yes,poor,poor,hard worker,Technical,machine learning,programming,data science,Sales and Marketing,Business process analyst,Network Security Engineer
1,6,8,yes,no,medium,medium,hard worker,Management,app development,hacking,web technologies,SAaS services,developer,Network Security Engineer
8,5,3,no,yes,excellent,medium,hard worker,Management,full stack,parallel computing,testing,Cloud Services,Business process analyst,Network Security Engineer
8,4,1,yes,yes,excellent,excellent,smart worker,Management,full stack,Software Engineering,ethical hacking,BPA,cloud computing,Network Security Engineer
4,2,7,yes,no,poor,poor,hard worker,Technical,full stack,distributed computing,database security,SAaS services,testing,Network Security Engineer
2,2,7,no,yes,medium,medium,hard worker,Technical,hadoop,distributed computing,testing,Sales and Marketing,developer,Network Security Engineer
6,8,1,yes,yes,excellent,poor,smart worker,Technical,shell programming,Management,web technologies,Sales and Marketing,Business process analyst,Network Security Engineer
6,3,5,yes,yes,medium,excellent,smart worker,Management,app development,Software Engineering,AWS,Service Based,developer,Network Security Engineer
6,5,4,yes,no,poor,medium,smart worker,Management,hadoop,data engineering,database security,Sales and Marketing,developer,Network Security Engineer
1,3,5,yes,yes,poor,poor,smart worker,Technical,distro making,data engineering,testing,BPA,developer,Network Security Engineer
3,4,3,yes,no,medium,excellent,hard worker,Management,app development,Management,testing,Sales and Marketing,Business process analyst,Network Security Engineer
1,4,6,no,yes,poor,medium,hard worker,Management,r programming,networks,testing,Sales and Marketing,developer,Network Security Engineer
6,9,7,no,no,poor,poor,smart worker,Management,r programming,programming,testing,Cloud Services,cloud computing,Network Security Engineer
5,9,2,no,no,medium,excellent,smart worker,Management,full stack,IOT,game development,Cloud Services,testing,Network Security Engineer
2,4,9,yes,yes,excellent,poor,hard worker,Management,python,Computer Architecture,database security,Web Services,system developer,Network Security Engineer
8,4,3,yes,yes,medium,poor,smart worker,Management,hadoop,parallel computing,game development,Sales and Marketing,security,Network Security Engineer
3,6,3,no,yes,excellent,excellent,hard worker,Technical,python,IOT,data science,product development,security,Network Security Engineer
3,1,6,yes,no,excellent,poor,smart worker,Management,shell programming,Computer Architecture,database security,Testing and Maintainance Services,testing,Network Security Engineer
3,2,2,yes,no,poor,excellent,smart worker,Management,app development,Computer Architecture,web technologies,Service Based,cloud computing,Network Security Engineer
9,5,2,no,no,medium,poor,hard worker,Management,hadoop,Computer Architecture,game development,Testing and Maintainance Services,testing,Network Security Engineer
1,2,4,yes,no,medium,poor,hard worker,Technical,full stack,programming,data science,Sales and Marketing,testing,Network Security Engineer
7,1,7,yes,yes,excellent,poor,smart worker,Technical,r programming,IOT,testing,BPA,security,Network Security Engineer
2,6,9,yes,yes,excellent,excellent,smart worker,Technical,distro making,Software Engineering,testing,Service Based,testing,Network Security Engineer
3,9,1,yes,no,poor,medium,smart worker,Technical,app development,Management,web technologies,Testing and Maintainance Services,cloud computing,Network Security Engineer
7,3,6,no,no,excellent,poor,smart worker,Technical,r programming,distributed computing,data science,Testing and Maintainance Services,testing,Network Security Engineer
4,6,9,yes,no,medium,poor,hard worker,Management,distro making,data engineering,game development,Testing and Maintainance Services,developer,Network Security Engineer
4,2,5,no,no,medium,excellent,smart worker,Technical,hadoop,hacking,game development,Cloud Services,developer,Network Security Engineer
8,1,9,yes,yes,medium,poor,hard worker,Technical,shell programming,parallel computing,web technologies,Testing and Maintainance Services,Business process analyst,Network Security Engineer
5,5,4,no,yes,medium,excellent,smart worker,Technical,shell programming,Software Engineering,database security,Service Based,cloud computing,Network Security Engineer
1,7,6,yes,yes,excellent,medium,smart worker,Management,hadoop,data engineering,AWS,Web Services,developer,Network Security Engineer
3,8,9,no,yes,medium,medium,hard worker,Management,information security,Computer Architecture,web technologies,SAaS services,testing,Network Security Engineer
9,8,7,no,no,excellent,medium,hard worker,Management,machine learning,Software Engineering,game development,Product based,Business process analyst,Network Security Engineer
6,1,5,yes,no,excellent,medium,smart worker,Management,python,Computer Architecture,web technologies,BPA,system developer,Network Security Engineer
2,2,9,yes,no,excellent,poor,smart worker,Technical,machine learning,Software Engineering,ethical hacking,Sales and Marketing,testing,Network Security Engineer
4,7,3,no,yes,medium,poor,smart worker,Technical,machine learning,data engineering,data science,product development,security,Network Security Engineer
6,5,8,no,no,excellent,medium,hard worker,Technical,information security,programming,game development,Service Based,Business process analyst,Network Security Engineer
8,1,2,yes,yes,excellent,poor,hard worker,Management,machine learning,Software Engineering,game development,SAaS services,cloud computing,Network Security Engineer
3,9,1,no,no,excellent,medium,smart worker,Management,app development,Management,web technologies,Product based,system developer,Network Security Engineer
3,4,1,yes,yes,excellent,excellent,smart worker,Management,shell programming,parallel computing,data science,SAaS services,testing,Network Security Engineer
7,8,9,no,no,excellent,poor,smart worker,Technical,hadoop,data engineering,data science,Product based,cloud computing,Network Security Engineer
5,5,7,yes,no,medium,excellent,hard worker,Management,r programming,IOT,testing,Product based,developer,Network Security Engineer
8,2,2,yes,no,poor,medium,smart worker,Management,app development,Management,testing,Cloud Services,Business process analyst,Network Security Engineer
6,2,1,yes,yes,excellent,poor,hard worker,Technical,r programming,IOT,ethical hacking,Sales and Marketing,Business process analyst,Network Security Engineer
7,4,9,no,no,poor,poor,hard worker,Management,app development,hacking,game development,Finance,testing,Network Security Engineer
